stem,selection_reasons,legacy_stage1_final_mean_abs_bgr_delta,legacy_stage1_final_mean_abs_chroma_delta,legacy_stage1_final_grad_mean_ratio,legacy_stage1_final_luma_std_ratio,P27_raw_detail_lowfreq_chroma_mean_abs_bgr_delta,P27_raw_detail_lowfreq_chroma_mean_abs_chroma_delta,P27_raw_detail_lowfreq_chroma_grad_mean_ratio,P27_raw_detail_lowfreq_chroma_luma_std_ratio,D01_structure_flow_mean_abs_bgr_delta,D01_structure_flow_mean_abs_chroma_delta,D01_structure_flow_grad_mean_ratio,D01_structure_flow_luma_std_ratio,FF01_full_flow_v8_mean_abs_bgr_delta,FF01_full_flow_v8_mean_abs_chroma_delta,FF01_full_flow_v8_grad_mean_ratio,FF01_full_flow_v8_luma_std_ratio,FF02_detector_compatible_mean_abs_bgr_delta,FF02_detector_compatible_mean_abs_chroma_delta,FF02_detector_compatible_grad_mean_ratio,FF02_detector_compatible_luma_std_ratio
paige.4,P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5,11.54973316192627,1.2554785013198853,4.88953353214406,2.562731444766598,2.378798723220825,1.2612695693969727,1.267064007092901,0.9990231373917688,2.4233365058898926,1.255312442779541,1.2418982602844415,0.9847050237612194,1.1424120664596558,0.17646484076976776,1.0436981564367738,1.0285726438674638,1.5925390720367432,0.9168359637260437,0.88931507981501,1.0057469588787284
paige.5,P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,77.32466125488281,13.333818435668945,9.18066110528008,6.018435001309721,1.9985417127609253,0.7307031154632568,1.7250810355858461,1.092722385434858,2.324934959411621,1.5768554210662842,1.7250361655794595,1.096655172316541,10.873698234558105,10.397705078125,1.0892933385679149,1.0261953958913999,12.912766456604004,11.912012100219727,1.0741935616459524,0.9918237955613188
qiangzhuang.13,P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,54.29131317138672,28.686655044555664,6.3253851453794905,4.369040378246659,1.7680631875991821,0.6356835961341858,1.118200246819318,0.9890726890038126,3.171682834625244,1.6217724084854126,1.109819366463454,1.0041869693762433,9.9133882522583,8.669912338256836,1.1040889955547095,1.2123004526043761,15.280374526977539,13.45321273803711,0.9542079438123915,1.070989329301456
qiangzhuang.14,D01_structure_flow:msfi_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,49.9384651184082,27.519800186157227,6.526274471425299,3.910686880090997,1.686708927154541,0.6137646436691284,1.2062212792798956,1.0002047640697196,3.10610032081604,1.6008496284484863,1.196225276504058,1.000411168771884,9.768723487854004,8.654926300048828,1.1318615140530444,1.199861798347885,15.208024024963379,13.437548637390137,0.9714608340298756,1.0621158496590783
qiangzhuang.15,FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5,57.33815002441406,29.774642944335938,6.053528062507869,4.392561161091985,1.9305728673934937,0.6450048685073853,0.9983750288860543,0.8971266262370556,3.267932891845703,1.6020996570587158,0.995951225593042,0.9091171536614867,9.70751667022705,8.564526557922363,1.089841280222977,1.1864185933556592,15.199361801147461,13.4171142578125,0.9741813875732219,1.061488340260179
qiangzhuang.17,D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5,52.34172058105469,31.113487243652344,8.281904312159398,4.726995505574192,1.7865592241287231,1.034609317779541,1.5634429110881882,1.0237015924794632,3.9336295127868652,2.477123975753784,1.5989854481243102,1.0189467722955363,17.017356872558594,11.644848823547363,1.2025387060418002,1.313526058082339,24.8647518157959,16.155210494995117,1.1014181979188014,1.0959930346676852
rouruo.4,FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5,45.9870491027832,8.229516983032227,9.678812987696105,5.324209191371658,1.6200944185256958,0.5282958745956421,1.0738178920688801,0.8658658356506683,1.5788410902023315,0.5299218893051147,1.129543630647883,0.8337125322783823,6.184235095977783,3.3998193740844727,1.0561012365206426,1.0617632635654062,7.775195121765137,4.312216758728027,0.9594605800892207,1.0193410423090847
sanjiaoji.10,P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5,19.284709930419922,7.524165153503418,3.6163603603354493,2.7214203968191613,3.1926627159118652,1.193701148033142,0.898751790540409,0.9105217620983221,3.3472297191619873,1.2351514101028442,0.9570350702713634,0.9332487262521976,6.818323612213135,4.517207145690918,1.013352785908611,1.031546028358916,7.989296913146973,5.14065408706665,0.8414301771645474,0.9338848865237951
shikelipu.4,D01_structure_flow:msfi_50k:f1_loss:top5;D01_structure_flow:msfi_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,79.47236633300781,5.7333984375,4.911208526463715,2.446828106080442,1.56598961353302,0.5267773270606995,0.9815568253084924,1.0009403489913358,1.631090521812439,0.5265088081359863,1.0567437494021643,0.9789598353811664,5.305029392242432,2.9935009479522705,1.0106696023944375,1.0180289230867465,6.374150276184082,3.558461904525757,0.8532594710523322,0.9946603436920572
shikelipu.5,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;D01_structure_flow:msfi_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,62.205509185791016,8.679941177368164,9.829234237836268,5.164488615642145,1.7874870300292969,0.49814942479133606,0.8943934528212286,0.8370402212480007,2.016494035720825,0.5517138838768005,0.9766116283251465,0.8619870469899136,7.472548961639404,3.7752490043640137,1.0376124860946783,1.0768237243787238,9.018941879272461,4.717880725860596,0.8637766188350684,0.9996942322930528
tama.10,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:top3_bgr;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5,50.181312561035156,25.69159698486328,5.480833857715458,1.9117367089265096,2.8010058403015137,1.084902286529541,1.4645090022052387,0.9963288726204412,4.918877124786377,1.5813769102096558,1.434751432150864,0.9708658345551823,23.103742599487305,11.963525772094727,1.0627297999131133,1.078566516542871,31.58917236328125,16.29926300048828,1.0031944396545867,1.0233991103811413
tama.11,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,27.052894592285156,5.457016468048096,50.880336280225386,7.3142542350942605,1.1574902534484863,0.2038281261920929,3.515294485986916,1.0079191475571623,0.73245769739151,0.20527343451976776,3.75162446167216,1.0126040424995575,5.11941385269165,2.6180419921875,1.165492205545763,1.0670164347034345,6.279371738433838,3.4343504905700684,1.395128336924135,1.0229017367572508
tama.13,D01_structure_flow:top5_grad;FF01_FF02_smoke_top_grad_family;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top3_bgr,102.68505096435547,3.790034294128418,9.14530278683853,3.7343360134411854,1.6422135829925537,0.6823632717132568,2.5379913703869517,1.0012496535999933,1.5017545223236084,0.6076562404632568,2.891839437216324,0.9648768073548879,3.6168880462646484,2.076786994934082,1.099167789945386,1.042159762500649,4.565104007720947,2.8164892196655273,0.9873706587727754,0.9941260072519299
tama.14,D01_structure_flow:top5_grad;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01_and_FF02,31.575084686279297,5.269370079040527,53.99875619143715,7.915617365823688,1.156884789466858,0.22385254502296448,3.617807689755781,1.0050160073304397,0.7461816668510437,0.22545897960662842,3.855332927606744,1.0097219893792109,5.073157787322998,2.6017041206359863,1.209533672543569,1.0642933385963746,6.249840259552002,3.4246485233306885,1.4455345948379414,1.0254912166257002
tama.8,FF01_full_flow_v8:top3_bgr;FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:top3_bgr,44.393184661865234,22.314809799194336,5.091491529568781,2.1497507981346455,3.102001905441284,1.058984398841858,1.4893631483686551,0.995812992422665,5.31057596206665,1.5521435737609863,1.4861258805187834,0.978684158143201,23.156494140625,11.964941024780273,1.1418165611819266,1.1030648906382279,31.824134826660156,16.247909545898438,1.0044807880893387,1.030103261132828
tama.9,D01_structure_flow:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:top5_grad;legacy_stage1_final:top5_grad;named_in_FA01,27.85485076904297,5.465488433837891,51.21637852946372,7.406415818378515,1.1696614027023315,0.22081054747104645,3.306226804292125,1.007019504288967,0.749280571937561,0.22286133468151093,3.5182708926969384,1.0115707870428918,5.049964427947998,2.584228515625,1.087253951302768,1.0673116277393244,6.252281665802002,3.407031297683716,1.3478824476388414,1.0232382636090074
tiaowenhuangou.4,FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5,29.35593032836914,12.423256874084473,3.8381634417043102,1.7782585295507907,3.39389967918396,0.7080224752426147,0.9339103563536685,0.9712280448452996,3.497727870941162,0.7131006121635437,0.9733891193938836,0.9543251020049826,12.93620777130127,6.434062480926514,1.00929260352694,0.9964956278020287,15.272652626037598,7.917192459106445,0.8246459789975604,0.9686982942427933
tiaowenhuangou.5,D01_structure_flow:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5,30.274063110351562,12.982318878173828,3.8564149619608847,1.805270518495767,3.4156315326690674,0.8345507979393005,0.934655046060201,0.9701246000643071,3.5179686546325684,0.8396191596984863,0.9744290255327636,0.95329703263612,12.870244026184082,6.420761585235596,1.0091492308298409,0.9964268084655014,15.218294143676758,7.906171798706055,0.8261457040507414,0.9669458099133588
weixiaoyuanjia.21,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:top3_bgr;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5;legacy_stage1_final:top5_grad;named_in_FF01_FF02_status,46.68164825439453,21.9974422454834,41.607157387015405,17.42880581378466,2.909677743911743,0.9398486614227295,2.2305735298531357,1.0644451731967386,5.256536483764648,1.461484432220459,2.339863155681437,1.0961099377467654,27.498783111572266,13.379286766052246,1.913685255766522,1.55931581295328,29.75748062133789,15.207690238952637,1.247593911992112,1.2136024294037593
weixiaoyuanjia.22,FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:top3_bgr;FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:top3_bgr;legacy_or_FF02_high_color_shift;legacy_stage1_final:top5_grad,39.37663650512695,19.551401138305664,49.17610424825221,17.190515220539954,2.813427686691284,0.9972021579742432,2.414883122481293,0.9826500347556216,5.125322341918945,1.5067334175109863,2.464198669861674,1.0133404033206428,43.86824035644531,20.43877410888672,0.984682999734981,0.8988642019041563,43.0109748840332,20.20389175415039,1.0799185211731546,0.9620910407451615
weixiaoyuanjia.23,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5,43.56425094604492,18.9659423828125,20.069650231400285,7.583597522630427,3.0651659965515137,1.024477481842041,1.5002886001218088,0.9489197838426187,5.429261207580566,1.5200976133346558,1.4982054302707637,0.9484814726741556,22.983564376831055,10.983124732971191,1.164354796567267,1.3256024216982525,31.011184692382812,15.34256362915039,1.0317552923850142,1.0991051914056698
weixiaoyuanjia.26,D01_structure_flow:top3_bgr;FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,34.8260383605957,18.6588134765625,11.84855353269228,4.013860833414999,3.2476203441619873,1.0360790491104126,1.4721173200035529,0.9116663900816315,5.585826873779297,1.528012752532959,1.470143082812676,0.9112346147674308,22.860116958618164,11.286201477050781,1.1159436972086711,1.198878061240957,30.956151962280273,15.435522079467773,1.000124100965443,1.0598774527379846
xinyue.4,D01_structure_flow:msfi_50k:f1_loss:top5,33.65877151489258,14.517499923706055,21.141565792685057,8.657281475964874,1.735325574874878,0.9162890911102295,1.3123109122367225,1.0090631913104664,2.2735416889190674,1.2989404201507568,1.3237252431971316,1.0136586704170838,8.598756790161133,7.889565467834473,1.095169634827866,1.2140271671115024,13.458525657653809,11.041396141052246,0.9262833433850794,1.0834679486464283
xuehong.11,FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,28.133527755737305,6.299829006195068,3.5437761412176365,1.6725900301964844,2.1271777153015137,0.5025585889816284,0.9633107550414193,0.9769957252153051,2.169635534286499,0.50537109375,1.0085046808309228,0.9514328522627258,5.424173355102539,2.891494035720825,1.0279958841577554,1.020657130810586,7.0856475830078125,3.905258893966675,0.8681656968098559,0.9986476082938073
xuehong.13,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,28.31879234313965,7.111230373382568,3.5832925104746747,1.6712160293540392,2.2656054496765137,0.4844677746295929,0.915748860311799,0.9701099189106583,2.3066537380218506,0.48731935024261475,0.9591761924408655,0.9436907028795368,5.387558460235596,2.879653215408325,1.0299893643720937,1.024154655510194,7.098564624786377,3.912910223007202,0.8667708029611769,0.9994236144716125
xuehong.14,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5,28.85662841796875,6.733217716217041,3.6090243306396075,1.6031980123819372,1.863183617591858,0.5030370950698853,1.0118805957833321,0.9839490879196093,1.9047493934631348,0.506274402141571,1.0580295740902854,0.9561674411883104,5.497718334197998,2.9099903106689453,1.028399575701204,1.0263594709071315,7.10623025894165,3.9049510955810547,0.8637269256789177,0.9978210472426037
xuehong.9,FF01_full_flow_v8:diffusionedge_baseline_50k:false_edge_increase:top5;FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,27.682903289794922,7.073510646820068,3.4520573588437626,1.6432753708237477,2.1792025566101074,0.49764159321784973,0.9195217453201204,0.9739155699087464,2.2214810848236084,0.49906739592552185,0.9621947708493583,0.9488474617707188,5.426601409912109,2.8881592750549316,1.0274677223910822,1.0210275493611736,7.088323593139648,3.905810594558716,0.8701590464578561,0.9990179686891125
yuanhai.7,FF01_full_flow_v8:top5_grad,50.61595153808594,15.302929878234863,8.303234473633848,4.23755905590955,1.5465689897537231,0.6583203077316284,1.867355828804754,1.0064435742839948,2.9870572090148926,1.5348095893859863,1.8677065124606944,1.00674826529216,9.145797729492188,7.338315486907959,1.2044763812314692,1.151713511202943,14.964466094970703,11.71719741821289,1.056404685425617,1.0354931027749819
