variant,role,image_count,tolerance_px,mean_pred_edge_density,mean_boundary_precision_tol,mean_boundary_recall_tol,mean_boundary_f1_tol,mean_false_edge_ratio_tol,mean_false_edge_density_tol,mean_missed_gt_ratio_tol,mean_pred_components_per_1k_edge_px,mean_endpoints_per_1k_skel_px,mean_edge_width_proxy,mean_mean_pred_to_gt_distance,mean_p95_pred_to_gt_distance,mean_mean_gt_to_pred_distance,mean_p95_gt_to_pred_distance,mean_mean_abs_luma_delta_vs_raw,mean_p95_abs_luma_delta_vs_raw
raw_input_anchor,raw MyEdge detector-domain input anchor,168,2,0.041240234375000004,0.4763074134264847,0.8962021956537591,0.5813305709933555,0.5236925865735154,0.025841587611607143,0.1037978043462408,10.623043752996816,56.10096234749325,2.4816478096498407,6.88041998675987,20.662970155135508,2.091696557052299,8.964071238671961,0.0,0.0
legacy_stage1_final,locked Stage1 Final known to hurt fixed-detector MyEdge metrics,168,2,0.07664091564360118,0.29155361404742264,0.9423961801162247,0.4094189016120519,0.7084463859525775,0.06053989955357143,0.057603819883775303,24.482513804885283,78.85465180428403,1.8588460256828059,28.43772644080345,74.63762843391,1.04659058300374,5.24686989198357,32.07200949532645,57.51190476190476
edge_preserve_original_control,same-chain original-control sanity check,168,2,0.041240234375000004,0.4763074134264847,0.8962021956537591,0.5813305709933555,0.5236925865735154,0.025841587611607143,0.1037978043462408,10.623043752996816,56.10096234749325,2.4816478096498407,6.88041998675987,20.662970155135508,2.091696557052299,8.964071238671961,0.0,0.0
edge_preserve_raw_bph_mild_v1,P4 mild raw-BPH edge-preserve variant,168,2,0.041194254557291664,0.47681778800427377,0.895600354875109,0.5814262043159063,0.5231822119957262,0.02581978934151786,0.10439964512489103,10.70425975253103,56.40338985709282,2.4781474091741877,6.8558561487705605,20.50723693444624,2.085856195301823,8.953704492302004,0.6699036227295264,1.1785714285714286
edge_preserve_raw_bph_moderate_v1,P4 moderate raw-BPH edge-preserve variant,168,2,0.04112944103422619,0.4770228737408421,0.8955442891792169,0.5816999052525147,0.5229771262591578,0.025757475353422616,0.10445571082078299,10.739857588583096,56.760668693076674,2.4802149266089595,6.877785801958951,20.604205544613254,2.085976959608073,8.99258021396978,0.5892465930609476,1.130952380952381
generic_luma_clahe_mild_v1,P7 generic luminance CLAHE control,168,2,0.043763195219494046,0.46759096426815205,0.9003805030553282,0.5737596538522234,0.532409035731848,0.02819899786086309,0.09961949694467188,11.280219682555325,57.921956286230376,2.4699717423622807,7.423565805576759,22.21694341318825,1.987914039818681,8.707933648910076,1.1574590198163475,3.4285714285714284
generic_luma_gamma_mild_v1,P7 generic luminance gamma control,168,2,0.04124982561383928,0.47636446343295347,0.8957310969318019,0.581190051390052,0.5236355365670464,0.02587164015997024,0.10426890306819812,10.660388664897873,56.08973690870688,2.48184940277142,6.889824124042207,20.83223302991195,2.1001550414097543,8.981371001046368,1.028215332843718,1.7678571428571428
edge_safe_gamma_bph_v1,"P9 candidate, not MyEdge-evaluated yet",168,2,0.04124162946428572,0.4766463344639966,0.8958535342755031,0.5813994146430036,0.5233536655360034,0.025852806454613096,0.10414646572449679,10.788912365521606,56.14315967507154,2.4795128783121076,6.8576722008456255,20.518887151227915,2.090395527857327,8.973770017997303,0.7066788170043201,1.4107142857142858
boundary_aware_luma_bph_v1,"P10 candidate, not MyEdge-evaluated yet",168,2,0.040844087146577376,0.47817533401510903,0.8957708231685659,0.5829880196066137,0.5218246659848909,0.02551449730282738,0.1042291768314341,10.827427404889834,56.464323070855265,2.455294180852735,6.809216066991377,20.469426659101554,2.0909586526142427,8.955472438538814,0.4338293458401625,1.1011904761904763
skeleton_safe_luma_bph_v1,"P11 skeleton-safe smooth-only candidate, not MyEdge-evaluated yet",168,2,0.04106951032366072,0.47809077768034264,0.894752339629052,0.5824059885613588,0.5219092223196574,0.025664760044642857,0.10524766037094808,10.18577408276909,54.79826337341485,2.511734961338498,6.781230183003667,20.676466516763888,2.1103884995110094,9.031975113278587,0.5571848830829064,1.2261904761904763
c01_microstructure_csp_v1,"P16 C01 microstructure-CSP candidate, Stage1 output only",168,2,0.04126104445684524,0.4772121368334427,0.8965734778266603,0.5818252445702645,0.5227878631665573,0.02589134579613095,0.10342652217333977,10.890951689620026,56.4910494774739,2.47654274357402,6.869639676070529,20.78776674146273,2.06804097330867,8.903765405160584,0.7563166759376015,1.4047619047619047
topology_guarded_microfusion_v1,"P17 topology-guarded microfusion candidate, Stage1 output only",168,2,0.04093302408854167,0.47929393683684796,0.8949111911889802,0.5830289008210618,0.520706063163152,0.02559605189732143,0.10508880881101985,10.510573278087778,56.240639112930836,2.4993769803239396,6.859861100158838,20.716786076868623,2.1075002284695548,8.995331012651976,0.969681341201067,1.7202380952380953
topology_pruned_microfusion_v1,"P18 component-pruned topology microfusion candidate, Stage1 output only",168,2,0.04106236049107143,0.4786091360495304,0.8957638484748552,0.5829448478820164,0.5213908639504696,0.025679001581101195,0.10423615152514473,10.672734228028421,55.70829443730542,2.4952661759371155,6.840425913287455,20.73120735679249,2.096435937595178,8.981408437272203,0.9566125494561025,1.6607142857142858
baseline_stabilized_microfusion_v1,"P19 baseline-stabilized soft-pruned topology microfusion candidate, Stage1 output only",168,2,0.04109526134672619,0.4781548249880644,0.8957535158989854,0.5825334188270401,0.5218451750119356,0.025715506417410716,0.10424648410101464,10.63985696960078,55.84402852780187,2.4931365057357264,6.853561449976894,20.751696719043235,2.0942391451296807,8.975770962718745,0.9682166703222763,1.6845238095238095
endpoint_stabilized_weak_boundary_v1,"P20 endpoint-stabilized weak-boundary candidate, Stage1 output only",168,2,0.04076334635416666,0.47740764595435625,0.8945454895429682,0.5817735038349299,0.5225923540456437,0.02545758928571428,0.10545451045703186,10.240942585104865,55.2913164713961,2.4986234323893313,6.865779095620369,20.739291514014887,2.1126943537052303,9.046777100092447,1.0931379025181134,2.1726190476190474
balanced_weak_boundary_pyramid_fusion_v1,"P21 balanced P14/P15 weak-boundary candidate, Stage1 output only",168,2,0.04084844680059524,0.4794667410065284,0.8949770823700401,0.5833713337014078,0.5205332589934716,0.02550106956845238,0.10502291762995976,10.293365225363031,55.85136672458591,2.507727446522207,6.798959544756017,20.612778100880448,2.1069756257356906,9.035117595976828,0.9401684559526897,1.8333333333333333
ac_guarded_weak_boundary_fusion_v1,"P22 AC/false-edge guarded weak-boundary candidate, Stage1 output only",168,2,0.040852748325892856,0.479075634100323,0.8949169183441897,0.5831103464502554,0.5209243658996769,0.02551130022321428,0.10508308165581008,10.439433078641851,55.84230800210363,2.503245045001038,6.823598000750123,20.679650391701923,2.1025858200140743,9.002630252771631,1.032475060295491,2.0238095238095237
precision_rebalanced_ac_guarded_weak_boundary_fusion_v1,"P23 precision-rebalanced AC/false-edge guarded weak-boundary candidate, Stage1 output only",168,2,0.040984642392113094,0.4768987607323587,0.8951205801104223,0.5814070973885761,0.5231012392676413,0.025627848307291663,0.10487941988957764,10.535039432551086,55.77974196195667,2.4981950101261154,6.861013572184026,20.724303948232702,2.0998113032618044,8.990966654563907,0.9629001583726633,1.9345238095238095
false_edge_floor_ac_guarded_weak_boundary_fusion_v1,"P24 false-edge-floor AC/false-edge guarded weak-boundary candidate, Stage1 output only",168,2,0.040810314360119046,0.4785330256275336,0.894301236841127,0.5825675209455874,0.5214669743724665,0.025495896112351188,0.10569876315887299,10.391925283005682,55.19301679353138,2.5027718573436912,6.782814860416827,20.65319592835356,2.117983549179977,9.041323672063102,0.9189397304185799,1.8095238095238095
ap_preserving_ac_guarded_weak_boundary_fusion_v1,"P25 AP-preserving AC/false-edge guarded weak-boundary candidate, Stage1 output only",168,2,0.04091331845238095,0.47716375784364873,0.8950037417017027,0.5816108335213209,0.5228362421563512,0.025578264508928576,0.10499625829829724,10.40949028047255,55.48733028483581,2.4969050559734702,6.857178793281302,20.711443375814184,2.1024073340160983,9.004078347806827,0.9516482388689405,1.9107142857142858
dual_anchor_false_edge_floor_v1,"P26 dual-anchor false-edge floor candidate, Stage1 output only",168,2,0.041087472098214284,0.4768713999887278,0.8953215799395797,0.5814237691936848,0.5231286000112723,0.02571666899181548,0.10467842006042029,10.452073616567867,55.37324479789121,2.495057673344284,6.868067929955871,20.72969242742125,2.098490562024865,8.997672474874431,0.95403669038344,1.9226190476190477
raw_detail_lowfreq_chroma_v1,"P27 raw-detail low-frequency luma/chroma candidate, Stage1 output only",168,2,0.04123802548363095,0.47665153249764575,0.8961198671053322,0.5815588665923892,0.5233484675023542,0.025840366908482144,0.10388013289466799,10.712562670578937,56.17724741587641,2.484567769581338,6.9039492209191575,20.782593218526284,2.0807988578158416,8.944093918907956,0.6774215266951138,1.3273809523809523
raw_detail_chroma_guard_v1,"P28 P27-based chroma false-edge guard candidate, Stage1 output only",168,2,0.041278657459077384,0.47635851085623027,0.8960699981796005,0.5812599626001199,0.5236414891437697,0.025872163318452383,0.10393000182039949,10.707852074698613,56.275928827539005,2.4852561306753578,6.910232576911167,20.80843126752339,2.0820823754031568,8.947459300906283,0.693654259888544,1.3154761904761905
d01_structure_flow_v1,"D01 downstream_driven_v2 modular structure-flow candidate, Stage1 output only",168,2,0.04107729957217262,0.47697894510689454,0.8961772786719612,0.5819208988457182,0.5230210548931056,0.025724865141369048,0.10382272132803878,10.862763040420509,56.583851914691685,2.4711679106822984,6.869350002579846,20.81231164063218,2.0846839390734004,8.965784429350263,0.7712493619183078,1.4880952380952381
topology_locked_visual_chroma_full_flow_v1,FA01-follow-up Stage1-only new method family: full branch evidence with raw-topology-locked visual chroma output,168,2,0.0435066150483631,0.4343476043970314,0.8962238910075002,0.5510203874890005,0.5656523956029685,0.028060767764136907,0.1037761089924999,10.88313573685666,55.60788006234888,2.4895665272529213,11.571835917512946,45.99550426719944,2.0333600851853864,8.625127726092243,2.0792178078776313,4.571428571428571
topology_locked_visual_chroma_full_flow_v1_cvgraylock092,Current topology-locked visual-chroma flow with final cv-gray projection lock for raw-compatible fixed-detector edge topology,168,2,0.043129010881696433,0.43417087878865096,0.8951289721881482,0.550691943039069,0.5658291212113491,0.02773954845610119,0.10487102781185181,10.930609093712748,55.99524588593505,2.49008984601308,11.57107090315878,46.346159753088116,2.039980622056385,8.654154356381369,2.51360183067265,4.904761904761905
