method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
OursFinalPNG,donghaiyuanjia.10,donghaiyuanjia.10.jpg,donghaiyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.10_Final.png,3.414973945,0.4937179639,3.376952298,257.2516017,5.330029324,797,0.9046059847,19.94769498,1.753869772,6.636426778
OursFinalPNG,donghaiyuanjia.11,donghaiyuanjia.11.jpg,donghaiyuanjia.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.11.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.11_Final.png,5.056864516,0.584915281,4.014059878,342.2168103,6.91833754,1218,0.9179888368,23.47725267,1.893066049,10.33978088
OursFinalPNG,donghaiyuanjia.12,donghaiyuanjia.12.jpg,donghaiyuanjia.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.12.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.12_Final.png,4.514181519,0.5554540638,3.684176991,371.9917712,7.051047135,1068,0.8510172963,23.17292923,1.355493546,8.382818963
OursFinalPNG,donghaiyuanjia.13,donghaiyuanjia.13.jpg,donghaiyuanjia.13_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.13.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.13_Final.png,5.125212021,0.5905803973,3.727868641,302.0784973,6.491841486,1219,0.8968029022,19.93989958,1.863817334,9.972492559
OursFinalPNG,donghaiyuanjia.14,donghaiyuanjia.14.jpg,donghaiyuanjia.14_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.14.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.14_Final.png,4.680879325,0.5654192567,3.905480352,351.336731,6.352148345,1079,0.907081902,23.57081239,1.474454284,8.969475754
OursFinalPNG,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.15_Final.png,4.580513725,0.5585481839,3.488753737,323.2570435,6.307199102,1163,0.929543674,22.07218491,1.04098475,8.88138515
OursFinalPNG,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.2_Final.png,4.07559788,0.5282797239,4.002349625,257.2894641,6.216886952,938,0.8456950188,17.90320062,1.327177286,7.753458917
OursFinalPNG,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.4_Final.png,4.209161665,0.5363485254,3.941039337,229.9242212,6.125683824,981,0.8715497851,18.70436643,1.768794656,8.137631184
OursFinalPNG,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.5_Final.png,4.284517552,0.5412365471,3.74615503,338.3217183,6.638012954,1244,0.8514282107,17.90197566,1.506705761,7.989170695
OursFinalPNG,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.7_Final.png,6.202074917,0.6526412171,4.507078489,415.3632053,8.14450149,1442,0.8474492431,19.92885241,1.429815292,11.91989276
OursFinalPNG,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.8_Final.png,4.892618064,0.5769024277,4.135509681,301.6148266,6.55941336,1240,0.9135119319,22.62023706,1.305975676,9.607477211
OursFinalPNG,donghaiyuanjia.9,donghaiyuanjia.9.jpg,donghaiyuanjia.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.9.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.9_Final.png,5.164642447,0.5920307803,3.801383928,288.8287618,6.501704414,1272,0.897949636,22.72767717,1.272886872,9.933955311
OursFinalPNG,duanjiao.10,duanjiao.10.jpg,duanjiao.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\duanjiao.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\duanjiao.10_Final.png,8.325974275,0.7665092897,5.294461592,519.9610306,11.98263252,2134,0.9310016036,23.91452321,4.437484741,19.94352671
OursFinalPNG,duowenqigou.1,duowenqigou.1.jpg,duowenqigou.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\duowenqigou.1.jpg,D:\Desktop\Stage1Codex\results\png\Final\duowenqigou.1_Final.png,16.9455279,1.240023468,6.752154534,760.8591252,27.91362536,11861,0.827223599,21.61302377,6.56829834,37.5439047
OursFinalPNG,duowenqigou.2,duowenqigou.2.jpg,duowenqigou.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\duowenqigou.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\duowenqigou.2_Final.png,19.29724918,1.373040024,6.770842252,817.1019397,28.74330535,12200,0.8414863348,22.25090041,6.644471645,41.62119771
OursFinalPNG,duowenqigou.3,duowenqigou.3.jpg,duowenqigou.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\duowenqigou.3.jpg,D:\Desktop\Stage1Codex\results\png\Final\duowenqigou.3_Final.png,15.93739782,1.184926384,6.616958429,733.929952,26.18890754,11243,0.8529801965,22.08958197,6.080615044,35.39622847
OursFinalPNG,fanquyuanjia.1,fanquyuanjia.1.jpg,fanquyuanjia.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\fanquyuanjia.1.jpg,D:\Desktop\Stage1Codex\results\png\Final\fanquyuanjia.1_Final.png,7.095688321,0.6977914494,4.964216512,445.7879653,10.71951661,2137,0.9406242967,23.91045977,7.53496027,16.28414334
OursFinalPNG,fanquyuanjia.2,fanquyuanjia.2.jpg,fanquyuanjia.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\fanquyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\fanquyuanjia.2_Final.png,8.786185044,0.7921852262,5.731429031,516.9836746,13.10922771,2323,0.9351486564,20.39154665,5.734525204,22.39766356
OursFinalPNG,fanquyuanjia.3,fanquyuanjia.3.jpg,fanquyuanjia.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\fanquyuanjia.3.jpg,D:\Desktop\Stage1Codex\results\png\Final\fanquyuanjia.3_Final.png,9.51178954,0.8321698337,5.732791029,612.1254506,14.77298174,3130,0.9262916446,19.44894175,5.692996979,23.08481028
OursFinalPNG,fanquyuanjia.4,fanquyuanjia.4.jpg,fanquyuanjia.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\fanquyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\fanquyuanjia.4_Final.png,7.28905713,0.7096793272,4.929884649,462.9930251,10.73241781,2279,0.9467566609,23.37373897,6.957713127,17.88556113
OursFinalPNG,hailianzao.10,hailianzao.10.jpg,hailianzao.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\hailianzao.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\hailianzao.10_Final.png,12.40246539,0.99352384,5.989449014,458.5230457,14.58773273,5017,0.92445153,22.59765511,9.94694519,26.64585806
OursFinalPNG,hailianzao.3,hailianzao.3.jpg,hailianzao.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\hailianzao.3.jpg,D:\Desktop\Stage1Codex\results\png\Final\hailianzao.3_Final.png,7.634225954,0.7253399198,6.712666898,229.1050157,8.548488369,1706,0.8415650129,18.45964032,3.917010307,17.08585908
OursFinalPNG,hailianzao.4,hailianzao.4.jpg,hailianzao.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\hailianzao.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\hailianzao.4_Final.png,9.304097087,0.8178108269,6.015061208,325.2722864,10.94310617,2665,0.7806107402,18.97472007,3.645708799,21.68103874
OursFinalPNG,hailianzao.7,hailianzao.7.jpg,hailianzao.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\hailianzao.7.jpg,D:\Desktop\Stage1Codex\results\png\Final\hailianzao.7_Final.png,10.41871043,0.8860929932,5.735027669,698.8373384,14.55852434,3575,0.9256134033,15.38815526,5.750580311,21.03097199
OursFinalPNG,haiyangkadun.1,haiyangkadun.1.jpg,haiyangkadun.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.1.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.1_Final.png,6.402304113,0.6586101505,5.067646719,234.0092379,7.578385082,1200,0.8659101725,23.87086018,3.398896456,14.63763147
OursFinalPNG,haiyangkadun.10,haiyangkadun.10.jpg,haiyangkadun.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.10_Final.png,4.707202785,0.5652919748,4.381608114,272.3180398,7.34994543,1108,0.9207549095,17.25469992,3.880460978,10.00164642
OursFinalPNG,haiyangkadun.11,haiyangkadun.11.jpg,haiyangkadun.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.11.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.11_Final.png,4.961854982,0.5801273494,4.220324127,266.0304908,7.11537677,1065,0.9236138463,17.31174245,4.118793964,10.12772714
OursFinalPNG,haiyangkadun.12,haiyangkadun.12.jpg,haiyangkadun.12_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.12.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.12_Final.png,4.245348918,0.5373495279,4.53280022,246.3748188,7.086250774,980,0.8934698105,17.73898173,3.173781157,8.716880777
OursFinalPNG,haiyangkadun.18,haiyangkadun.18.jpg,haiyangkadun.18_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.18.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.18_Final.png,4.41553672,0.5446607693,5.232964901,221.1870249,7.727370827,1831,0.9163385034,25.70567831,3.997791767,10.10604372
OursFinalPNG,haiyangkadun.19,haiyangkadun.19.jpg,haiyangkadun.19_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.19_Final.png,5.090515679,0.5826647256,5.34584045,246.5178879,8.468901523,1990,0.8943080902,21.06229532,3.529220343,11.72705587
OursFinalPNG,haiyangkadun.20,haiyangkadun.20.jpg,haiyangkadun.20_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.20_Final.png,7.706968825,0.7274182681,5.903004122,196.5470709,9.026157287,2217,0.927082181,25.15947396,7.111459255,19.13626673
OursFinalPNG,haiyangkadun.21,haiyangkadun.21.jpg,haiyangkadun.21_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.21.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.21_Final.png,7.393461423,0.7142912101,6.641672714,367.1168201,9.843514655,2024,0.9018834233,22.00819433,3.784221411,15.46315109
OursFinalPNG,haiyangkadun.22,haiyangkadun.22.jpg,haiyangkadun.22_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.22.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.22_Final.png,4.296058024,0.5396637922,4.204339105,149.3473256,5.867488799,1089,0.9610040784,23.80856306,5.188798428,9.63633612
OursFinalPNG,haiyangkadun.23,haiyangkadun.23.jpg,haiyangkadun.23_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.23.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.23_Final.png,4.388138768,0.5456246846,4.06751943,242.5960815,6.71623299,1065,0.9245478511,17.06815039,3.75054121,9.575640741
OursFinalPNG,haiyangkadun.24,haiyangkadun.24.jpg,haiyangkadun.24_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.24.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.24_Final.png,6.275328314,0.6518949536,4.901515041,271.9698864,7.953877568,1207,0.8791428804,23.06346129,3.637063742,14.10704198
OursFinalPNG,haiyangkadun.3,haiyangkadun.3.jpg,haiyangkadun.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.3.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.3_Final.png,5.938520054,0.6342766204,4.467755202,292.4638617,8.064844862,1334,0.9062703252,23.86520273,3.192404509,12.9232204
OursFinalPNG,haiyangkadun.4,haiyangkadun.4.jpg,haiyangkadun.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.4_Final.png,6.872166153,0.6865935027,4.588170255,321.2317104,9.074005484,1429,0.8848005533,21.41797877,3.745521545,14.58477915
OursFinalPNG,haiyangkadun.5,haiyangkadun.5.jpg,haiyangkadun.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.5.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.5_Final.png,6.946539487,0.6925249543,4.308823806,397.7913058,9.525385116,1692,0.9201043844,24.00545546,4.118837833,13.84984951
OursFinalPNG,haiyangkadun.6,haiyangkadun.6.jpg,haiyangkadun.6_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.6.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.6_Final.png,4.929560667,0.5766351027,4.382947828,292.1603399,7.689401627,1257,0.8912699819,19.50512589,4.22832489,9.876170781
OursFinalPNG,haiyangkadun.7,haiyangkadun.7.jpg,haiyangkadun.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.7.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.7_Final.png,5.41860009,0.604042699,4.807899265,313.9223795,8.452697538,1272,0.859914422,18.57381616,3.493162394,10.87032333
OursFinalPNG,haiyangkadun.8,haiyangkadun.8.jpg,haiyangkadun.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.8.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.8_Final.png,5.127145494,0.5867848433,4.405557517,298.4038793,8.03752985,1191,0.8679190874,19.39691162,3.615072727,10.48562982
OursFinalPNG,haiyangkadun.9,haiyangkadun.9.jpg,haiyangkadun.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangkadun.9_Final.png,4.604022572,0.5597689445,4.136788419,278.9293201,6.897330714,1091,0.9295785427,17.14616683,3.830595493,9.241391295
OursFinalPNG,haiyangyuanjia.1,haiyangyuanjia.1.jpg,haiyangyuanjia.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangyuanjia.1.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangyuanjia.1_Final.png,8.341754718,0.7667012493,5.517146389,529.7557455,12.93417827,2112,0.9045948982,18.89576859,4.910328388,19.10876232
OursFinalPNG,haiyangyuanjia.10,haiyangyuanjia.10.jpg,haiyangyuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangyuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangyuanjia.10_Final.png,8.366595608,0.7704626233,5.259070621,435.4139645,11.18789281,2246,0.9020915627,18.2383721,5.115121841,18.03103358
OursFinalPNG,haiyangyuanjia.2,haiyangyuanjia.2.jpg,haiyangyuanjia.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\haiyangyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\haiyangyuanjia.2_Final.png,8.282572367,0.7632804986,5.659708464,533.5988,13.21685505,2115,0.9102136493,19.25173643,3.881341934,21.01702366
